UNSPSC-Code,UNSPSC-Description-eng,UNSPSC-Description-fra,HierarchyLevel-NiveauHierarchique,CommodityType-TypeProduit-eng,CommodityType-TypeProduit-fra,GSINCode-NIBSCode,GSINDescription-NIBSDescription-eng,GSINDescription-NIBSDescription-fra,date-file-published
20142000,"Glycol regenerators","Régénérateurs de glycol",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142100,"Heater treaters","Unités de traitement thermique",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142200,"Line heaters","Appareils de chauffage de ligne",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142300,"Production injection skids","Patins d'injection pour la production",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142400,"Ocean floor equipment","Équipements pour les fonds océaniques",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142500,"Produced water treating equipment","Équipements de traitement de l'eau produite",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142600,"Production control system instrumentation","Instruments pour les systèmes de contrôle de la production",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142700,"Pumping units","Unités de pompage",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142800,"Production separators","Séparateurs destinés à la production",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20142900,"Storage vessels and tanks","Réservoirs et navires de stockage",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20143000,"Sucker rods","Tiges de pompage",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20143300,"Pipeline service equipment","Matériel d'entretien des pipelines",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20143400,"Subsea umbilicals and related equipment","Tuyaux et câbles ombilicaux sous-marins et équipement connexe",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20143500,"Subsea project installation tools","Outils d'installation pour projets sous-marins",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20143600,"Subsea flexibles","Flexibles sous-marins",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20143700,"Subsea pipeline materials","Matériaux pour pipelines sous-marins",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
20143800,"Subsea meters","Compteurs et appareils de mesure sous-marins",L3,Goods,Biens,N3835,"Petroleum Production and Distribution Equipment","Equipements de production et de distribution de produits pétroliers",2021-05-12
21000000,"Farming and Fishing and Forestry and Wildlife Machinery and Accessories","Machines et accessoires pour l'agriculture, la pêche, l'exploitation forestière, la faune et la flore.",L1,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
21100000,"Agricultural and forestry and landscape machinery and equipment","Machines et équipement pour l'agriculture, l'exploitation forestière et le paysage",L2,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
21101500,"Agricultural machinery for soil preparation","Machines agricoles pour la préparation des sols",L3,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
21101600,"Agricultural machinery for planting and seeding","Machines agricoles pour la plantation et les semis",L3,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
21101700,"Agricultural machinery for harvesting","Machines agricoles pour la récolte",L3,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
21101800,"Dispersing and spraying appliances for agriculture","Appareils de dispersion ou de pulvérisation pour l'agriculture",L3,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
21101900,"Poultry and livestock equipment","Équipements pour la volaille et le bétail",L3,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
21102000,"Agricultural machinery for cleaning and sorting and grading","Machines agricoles de nettoyage, de tri ou de calibrage",L3,Goods,Biens,N3700,"Agricultural Machinery and Equipment","Machines Et Equipement Agricoles",2021-05-12
